,text,emotion
165,sua sublime atuação,surpresa
166,e formidável meu caro walter,surpresa
167,como e formidável a presença de todos,surpresa
168,e formidável ter a quem dizer adeus,surpresa
169,e um conselheiro formidável o seu,surpresa
170,o artigo foi formidável,surpresa
171,pica pau e um destaque no imaginário brasileiro,surpresa
172,ah! o absoluto do imaginário,surpresa
173,isso foi surreal,surpresa
174,uma historia completamente surreal,surpresa
175,essas pinturas beiram o surreal,surpresa
176,você nem acreditam de tão surreal,surpresa
177,incrível!,surpresa
178,fiquei pasma com tudo isso,surpresa
179,você me deixa pasmo,surpresa
180,estou admirado com a sua astucia,surpresa
181,que bela surpresa você me fez,surpresa
182,não acredito que fez isso!,surpresa
183,isso foi apavorante,surpresa
184,isso tão de repente,surpresa
185,estou chocada com isso,surpresa
186,estou surpresa e desconsertada,surpresa
187,esta realmente deslumbrante querida,surpresa
188,fiquei completamente sem plavras,surpresa
189,e espantoso o modo como ele nos olha,surpresa
190,incrivel você estar aqui,surpresa
191,que fantástica festa minha querida,surpresa
192,isso tudo e um erro,tristeza
193,eu sou errada eu sou errante,tristeza
194,tenho muito dó do cachorro,tristeza
195,e dolorida a perda de um filho,tristeza
196,essa tragedia vai nos abalar para sempre,tristeza
197,perdi meus filhos,tristeza
198,perdi meu curso,tristeza
199,sou só uma chorona,tristeza
200,você e um chorão,tristeza
201,se arrependimento matasse,tristeza
202,me sinto deslocado em sala de aula,tristeza
203,foi uma passagem fúnebre,tristeza
204,nossa condolências e tristeza a sua perda,tristeza
205,"desanimo, raiva, solidão ou vazies, depressão",tristeza
206,vivo te desanimando,tristeza
207,estou desanimado,tristeza
208,"imperador sanguinário, depravado e temeroso",tristeza
209,meu ser esta em agonia,tristeza
210,este atrito entre nos tem que acabar,tristeza
211,a escuridão desola meu ser,tristeza
212,sua falsa preocupação,tristeza
213,sua falsidade me entristece,tristeza
214,quem esta descontente com os outros esta descontente consigo próprio,tristeza
215,a torcida esta descontente com a demissão do tecnico,tristeza
216,estou bastante aborrecido com o jornal,tristeza
217,me sinto solitário e entediado,tristeza
218,a vida e solitária para aqueles que não são falsos,tristeza
219,como com compulsão depois da depressão,tristeza
220,estou me desencorajando a viver,tristeza
221,ele desencoraja minhas vontades,tristeza
222,isso vai deprimindo por dentro,tristeza
223,acho que isso e defeituoso,tristeza
224,os remedios me derrubam na cama,tristeza
225,a depressão vai me derrubar,tristeza
226,suas desculpas são falsas,tristeza
227,não magoe as pessoas,tristeza
